team_id	team_name	team_games	team_BA	team_OBPpct	team_SLGpct	team_AB	team_R	team_H	team_2B	team_3B	team_TB	team_HR	team_RBI	team_BB	team_HBP	team_SF	team_SH	team_K	team_DP	team_SB	team_CS	team_Picked	opp_team_games	opp_team_BA	opp_team_OBPpct	opp_team_SLGpct	opp_team_AB	opp_team_R	opp_team_H	opp_team_2B	opp_team_3B	opp_team_TB	opp_team_HR	opp_team_RBI	opp_team_BB	opp_team_HBP	opp_team_SF	opp_team_SH	opp_team_K	opp_team_DP	opp_team_SB	opp_team_CS	opp_team_Picked
697	Texas A&M		0.273	0.356	0.411	2,230	389	608	110	21	916	52	351	246	52	16	47	537	40	56	30			0.240	0.319	0.347	2,189	269	525	97	7	759	41	246	213	50	15	43	574	50	50	27	
694	Tennessee		0.258	0.352	0.373	1,754	256	452	77	13	654	33	230	212	54	19	21	392	38	55	22			0.254	0.331	0.374	1,784	243	454	83	11	667	36	217	168	44	14	21	398	36	34	14	
334	Kentucky		0.316	0.416	0.489	2,235	484	706	148	10	1,093	73	446	310	92	28	57	415	53	63	32			0.230	0.317	0.377	2,154	281	496	101	6	813	68	262	217	63	13	24	583	45	17	18	
31	Arkansas		0.286	0.373	0.455	2,194	422	627	97	13	999	83	385	258	63	24	25	463	35	27	17			0.232	0.316	0.353	2,095	254	487	86	4	740	53	232	207	56	15	23	619	44	29	18	
736	Vanderbilt		0.280	0.373	0.420	2,141	409	599	114	17	900	51	379	287	43	22	34	475	45	55	26			0.225	0.317	0.343	2,062	271	464	85	9	708	47	245	227	59	16	27	544	45	35	26	
37	Auburn		0.274	0.367	0.387	2,115	363	579	124	13	819	30	327	280	52	32	17	445	72	55	22			0.260	0.327	0.378	2,148	303	559	109	10	811	41	286	181	45	23	40	485	52	27	18	
433	Ole Miss		0.253	0.339	0.387	1,843	272	466	96	5	713	47	241	211	41	23	30	431	45	38	23			0.240	0.314	0.372	1,879	247	451	97	8	699	45	224	163	46	16	32	524	39	28	23	
648	South Carolina		0.260	0.343	0.401	2,019	305	524	95	8	809	58	280	218	49	17	34	383	46	35	23			0.233	0.320	0.353	2,015	257	470	78	10	712	48	226	219	43	13	20	563	50	51	21	
235	Florida		0.259	0.355	0.378	2,338	380	605	108	6	884	53	350	313	58	37	27	496	64	83	30			0.253	0.326	0.351	2,453	281	621	113	12	860	34	256	219	52	10	31	649	60	28	22	
8	Alabama		0.263	0.351	0.395	1,812	280	476	90	6	716	46	245	207	52	25	38	408	51	27	24			0.276	0.371	0.372	1,867	306	516	86	6	695	27	271	260	35	23	27	421	50	55	18	
434	Missouri		0.262	0.360	0.405	1,993	347	522	108	11	808	52	311	277	45	30	22	514	39	75	33			0.228	0.316	0.345	1,968	272	449	81	7	679	45	242	192	69	16	30	505	50	46	22	
365	LSU		0.289	0.384	0.434	2,425	482	702	120	12	1,053	69	448	292	101	37	41	426	55	78	29			0.229	0.319	0.351	2,361	281	540	99	5	829	60	266	273	45	12	28	626	47	54	30	
257	Georgia		0.257	0.338	0.376	1,908	257	491	94	6	717	40	224	187	51	14	28	440	55	23	12			0.260	0.353	0.386	1,941	313	504	97	7	750	45	274	237	53	17	33	477	40	66	15	
430	Mississippi St.		0.284	0.363	0.426	2,282	373	648	116	15	971	59	339	223	75	28	35	561	50	75	38			0.244	0.363	0.347	2,215	353	540	92	8	768	40	320	358	71	26	52	562	44	54	18	
